,iShares S&P 500 Inf Tech Sector UCITS ETF USD AccI,Invesco STOXX Europe 600 UCITS ETF AccH,iShares Core S&P 500 UCITS ETF USD (Acc)H,Vanguard FTSE All-World UCITS ETF USD AccI,iShares MSCI Poland UCITS ETF USD (Acc),Xtrackers Spain UCITS ETF 1C,iShares MSCI India UCITS ETF USD Acc (EUR),iShares Core MSCI Japan IMI UCITS ETF USD Acc,iShares Healthcare Innovation UCITS ETF USD A,iShares FTSE MIB UCITS ETF EUR (Acc),iShares Core MSCI Europe UCITS ETF EUR (Acc),Amundi Euro Stoxx Banks UCITS ETF Acc,HSBC MSCI CHINA,ISHARES EMIM,SPDR Russell 2000 US Small Cap UCITS ETF,Invesco Physical Gold ETC,Xtrackers S&P 500 Equal Weight UCITS ETF,Vanguard Global Aggregate Bond ETF EUR Hgd Acc,iShares Bitcoin ETP,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),HSBC Hang Seng Tech UCITS ETF HKD,iMGP DBi Managed Futures R EUR ETF
Date,QDVEDE,SC0CDE,SXR8DE,VWCEDE,IBCJDE,XESPDE,QDV5DE,EUNNDE,HEALAS,CSMIBMI,IMAEAS,LYBKDE,H4ZPDE,IS3NDE,ZPRRDE,SGLDMI,XDEWDE,VAGFDE,IB1TDE,SXRTDE,H4ZXDE,DBMFEPA
1/4/2021,13.12,88.22,304.35,81.01,14.33,21.53,5.17,41.12,,87.17,72.02,69.5,8.1,29.42,43.91,153.34,52.93,26.52,,117.58,9.62,
1/5/2021,13.12,88.22,305.07,81.31,14.41,21.59,5.22,41.17,,86.59,72.02,69.54,8.27,29.74,44.53,153.62,53.22,26.49,,117.34,9.7,
1/6/2021,13.14,89.47,309.77,82.35,14.7,22.17,5.22,41.62,,88.81,72.02,73.45,8.29,29.83,46.38,150.38,54.73,26.37,,119.82,9.7,
1/7/2021,13.28,89.79,312.8,82.92,14.88,22.25,5.21,41.7,,89.02,72.02,74.74,8.17,29.86,47.17,151.08,55.19,26.37,,119.78,9.54,
1/8/2021,13.36,90.4,314.01,83.67,15.01,22.31,5.32,42.43,,88.65,72.02,73.87,8.45,30.67,47.33,147.03,55.36,26.36,,119.94,9.91,
1/11/2021,13.45,89.7,316.31,83.93,14.91,22.17,5.35,42.49,,88.57,72.02,73.35,8.43,30.67,47.49,147.19,55.75,26.3,,119.72,9.88,
1/12/2021,13.34,89.77,315.75,83.97,14.7,22.17,5.42,42.49,,88.49,72.02,74.1,8.51,30.89,48.4,146.95,56.16,26.27,,119.16,10.01,
1/13/2021,13.44,89.89,316.2,84.14,14.54,22.24,5.39,42.76,,88.83,72.02,73.47,8.49,30.84,48.25,148.09,55.96,26.31,,119.68,9.93,
1/14/2021,13.44,90.57,317.25,84.68,14.55,22.34,5.42,43.23,,88.57,72.02,73.46,8.68,31.42,49.13,147.31,56.37,26.36,,120.44,10.22,
1/15/2021,13.33,89.69,315.2,84.01,14.29,22.03,5.36,42.68,,87.34,72.02,72.21,8.65,31.08,48.53,146.4,55.98,26.34,,118.86,10.08,
1/18/2021,13.26,89.8,315.55,84.16,14.51,22.02,5.3,42.79,,88.09,72.02,72.85,8.85,31.15,48.97,147.45,56.19,26.37,,119.26,10.55,
1/19/2021,13.26,89.69,315.2,84.18,14.19,21.9,5.33,42.66,,87.83,72.02,71.67,8.92,31.35,48.85,147.29,56.13,26.37,,119.36,10.8,
1/20/2021,13.65,90.35,320.2,85.3,14.2,21.9,5.43,42.9,,88.56,72.02,72,9.17,31.83,49.38,149.3,56.44,26.36,,119.94,11.32,
1/21/2021,13.72,90.29,320.25,85.28,13.97,21.63,5.41,42.63,,87.96,72.02,71.48,9.15,31.85,48.85,148.73,56.19,26.3,,119.94,11.26,
1/22/2021,13.71,89.82,318.36,84.62,13.98,21.44,5.35,42.53,,86.36,72.02,70.04,9.11,31.45,48.62,147.48,55.69,26.29,,119.4,11.2,
1/25/2021,13.76,89,318.31,84.65,13.89,21.01,5.23,42.63,,85.02,72.02,67.43,9.36,31.7,49.03,147.86,55.53,26.34,,117.74,11.56,
1/26/2021,13.85,89.61,319.94,84.89,14.16,21.14,5.24,42.88,,86.19,72.02,68.78,9.21,31.48,49.1,147.7,55.57,26.34,,118.86,11.51,
1/27/2021,13.75,88.59,316.07,83.9,13.81,20.82,5.18,42.59,,84.79,72.02,66.79,9.08,31.08,48.76,147.94,54.98,26.36,,116.26,11.18,
1/28/2021,13.78,88.73,317.6,83.93,14.21,21.08,5.22,42.4,,85.68,72.02,68.19,8.95,30.97,48.2,148.12,55.16,26.34,,117.9,10.87,
1/29/2021,13.42,86.91,310.56,82.23,13.92,20.58,5.05,41.68,,84.53,72.02,66.5,8.85,30.35,47.87,148.18,54.24,26.31,,116.32,10.78,
2/1/2021,13.69,88.11,314.3,83.39,14.2,20.68,5.25,42.04,,85.46,72.02,67.03,9.05,31.01,47.99,149.35,54.51,26.32,,116.84,11.24,
2/2/2021,13.95,89.33,322.17,85.22,14.2,21.22,5.42,42.6,,86.24,72.02,69.38,9.23,31.77,49.54,147.94,56.06,26.27,,118.9,11.53,
2/3/2021,13.97,89.5,321.74,85.34,14.1,21.37,5.48,42.97,,88.14,72.02,70.07,9.36,31.95,49.27,147.87,55.76,26.25,,119.28,11.7,
2/4/2021,14.1,90.08,325.22,86.04,13.9,21.73,5.51,43.17,,89.69,72.02,72,9.35,31.93,50.85,144.69,56.73,26.23,,120.4,11.44,
2/5/2021,14.12,90.07,326.45,86.36,14.17,21.94,5.51,43.38,,90.47,72.02,73.28,9.36,32.13,51.38,145.69,57.04,26.23,,120.92,11.35,
2/8/2021,14.18,90.27,327.02,86.63,14.09,21.96,5.58,44.05,,91.94,72.02,74.21,9.38,32.19,52.27,147.6,57.24,26.19,,121.8,11.26,
2/9/2021,14.21,90.27,326.69,86.64,14.06,21.68,5.55,44.03,,91.33,72.02,74.01,9.52,32.31,52.49,147.2,57.14,26.22,,121.38,11.53,
2/10/2021,14.08,90.03,325.23,86.43,13.83,21.57,5.53,43.86,,91.07,72.02,74.68,9.59,32.44,52.39,146.85,57.2,26.21,,120.72,11.62,
2/11/2021,14.27,90.47,326.38,86.91,14.11,21.47,5.61,44.08,,91.33,72.02,74.39,9.77,32.92,52.54,146.66,57.33,26.23,,121.06,12.03,
2/12/2021,14.31,91.04,327.02,87.16,13.95,21.55,5.61,44.32,,91.76,72.02,75.3,9.76,32.9,52.36,146.02,57.51,26.18,,121.68,12.01,
2/15/2021,14.41,92.26,329.58,87.91,14.25,21.96,5.64,44.63,,92.5,72.02,77.45,9.82,33.19,52.77,145.25,57.96,26.11,,123.78,12.1,
2/16/2021,14.36,92.18,328.68,87.68,14.41,21.84,5.6,44.69,,91.87,72.02,77.44,9.79,33.04,52.26,144.26,57.84,26.05,,123.42,12.23,
2/17/2021,14.14,91.38,327.95,87.36,14.26,21.74,5.63,44.56,,90.86,72.02,77.21,9.82,33.02,51.35,142.83,57.7,26.03,,122.76,12.49,
2/18/2021,14.05,90.77,326.3,86.76,14.26,21.5,5.59,43.9,,89.8,72.02,76.19,9.55,32.45,50.97,142.49,57.41,26.01,,121.66,12.03,
2/19/2021,14.16,91.24,327.26,87.2,14.34,21.76,5.58,44.09,,90.67,72.02,78.33,9.68,32.85,51.92,142.53,57.85,25.98,,122.78,12.17,
2/22/2021,13.82,90.83,323.53,86.14,14.16,21.77,5.45,44.08,,90.2,72.02,78.35,9.32,31.97,51.73,144.3,57.86,25.94,,122.68,11.37,
2/23/2021,13.58,90.47,320.97,85.52,13.86,22.14,5.46,43.86,,89.8,72.02,79.36,9.14,31.72,50.47,143.76,57.55,25.89,,121.78,11.14,
2/24/2021,13.74,90.88,325.14,86.14,13.93,22.31,5.54,43.52,,90.54,72.02,80.21,9.01,31.58,52.04,143.54,58.62,25.86,,122.78,10.67,
2/25/2021,13.6,90.49,321.61,85.33,13.87,22.28,5.52,43.06,,90.44,72.02,81,8.95,31.38,51.14,140.91,57.98,25.69,,122.32,10.64,
2/26/2021,13.68,89.24,321.12,84.62,13.64,22,5.3,42.52,,89.25,72.02,79.55,8.83,30.84,50.72,137.9,57.66,25.74,,121.5,10.39,
3/1/2021,13.97,90.79,326.97,86.35,13.92,22.5,5.48,43.3,,91.04,72.02,80.28,9.06,31.74,52.19,139.45,58.92,25.85,,122.78,10.74,
3/2/2021,13.84,90.88,324.75,85.8,13.91,22.42,5.52,42.83,,90.48,72.02,80.47,8.93,31.24,51.54,138.61,58.41,25.86,,122.98,10.63,
3/3/2021,13.69,91.01,323.69,85.75,13.85,22.39,5.63,42.85,,90.32,72.02,82.33,8.95,31.47,51.81,138.13,58.64,25.78,,122.72,10.56,
3/4/2021,13.45,90.79,321.52,85.17,13.84,22.47,5.67,42.7,,90.46,72.02,81.89,8.74,31.29,50.48,138.05,58.16,25.81,,122.4,10.12,
3/5/2021,13.21,90.07,318.12,84.3,13.63,22.17,5.59,42.58,,89.86,72.02,82.47,8.56,30.85,48.99,137.92,57.71,25.75,,122.26,9.85,
3/8/2021,13.56,91.88,329.77,86.53,13.81,22.61,5.65,43.02,,92.97,72.02,85.07,8.45,30.75,51.95,137.19,60.49,25.69,,123.74,9.52,
3/9/2021,13.7,92.64,331.01,87,14.12,22.74,5.7,43.15,,93.39,72.02,84,8.64,31.09,52.64,139.74,60.39,25.72,,125.74,9.78,
3/10/2021,13.74,92.97,331.73,87.13,14.15,22.76,5.7,43.2,,93.73,72.02,83.67,8.53,30.92,53.43,139.79,60.53,25.73,,126.58,9.57,
3/11/2021,13.92,93.51,334.36,87.88,14.12,22.95,5.77,43.08,,94.62,72.02,82.71,8.81,31.69,54.08,139.55,61,25.77,,127.26,10.08,
3/12/2021,13.7,93.28,332.36,87.4,14.17,23.1,5.65,43.37,,94.55,72.02,83.97,8.57,31.19,54.41,138.85,60.94,25.68,,127.16,9.63,
3/15/2021,13.83,93.29,334.2,87.8,14.17,23.08,5.62,43.69,,94.7,72.02,82.88,8.58,31.26,54.7,140.33,61.35,25.73,,126.62,9.69,
3/16/2021,14.15,94.15,337.52,88.66,13.97,23.2,5.68,44.28,,95.1,72.02,82.94,8.71,31.65,54.38,140.75,61.5,25.72,,127.64,10.06,
3/17/2021,13.93,93.63,335.35,88.05,13.66,23.07,5.56,44.18,,95.17,72.02,83.95,8.6,31.25,53.68,140.62,61.29,25.64,,128.04,9.87,
3/18/2021,13.85,94.08,335.93,88.3,13.77,23.13,5.46,44.83,,95.54,72.02,85.82,8.67,31.33,54.31,140.74,61.76,25.58,,128.02,9.98,
3/19/2021,13.72,93.37,333.4,87.81,13.66,22.82,5.57,44.78,,94.88,72.02,83.45,8.66,31.35,53.53,141.54,61.25,25.59,,127.36,9.97,
3/22/2021,13.93,93.56,334.36,87.93,13.69,22.39,5.6,44.62,,95.09,72.02,82.26,8.65,31.27,52.6,141.15,60.79,25.64,,127.26,9.97,
3/23/2021,13.97,93.4,336.18,88.01,13.53,22.4,5.63,44.37,,94.66,72.02,82.01,8.56,31.08,52.05,140.97,60.93,25.7,,127.18,9.71,
3/24/2021,13.89,93.42,336.46,87.79,13.37,22.57,5.56,44,,94.88,72.02,82.76,8.28,30.6,51.62,142.09,61.23,25.73,,126.86,9.28,
3/25/2021,13.75,93.52,334.52,87.58,13.18,22.51,5.49,44.33,,94.88,72.02,82.2,8.27,30.58,51.01,142.39,61.09,25.73,,126.96,9.33,
3/26/2021,13.96,94.31,338.06,88.32,13.46,22.8,5.54,44.69,,95.6,72.02,83.07,8.27,30.78,52.2,142.33,61.98,25.68,,128.4,9.47,
3/29/2021,14.05,94.46,340.21,88.69,13.58,22.76,5.59,44.6,,95.83,72.02,81.96,8.35,31.01,51.37,140.82,62.23,25.7,,129.26,9.45,
3/30/2021,14.03,95.15,341.95,89.19,13.56,23,5.62,44.56,,96.78,72.02,84.36,8.47,31.33,51.9,139.05,62.61,25.63,,130.1,9.67,
3/31/2021,14.24,95.02,343.51,89.48,13.64,22.95,5.62,44.21,,96.69,72.02,83.28,8.48,31.42,52.41,140.62,62.66,25.66,,130.12,9.82,
4/1/2021,14.43,95.59,344.69,90,13.82,23.04,5.66,44.22,,96.87,72.02,83.5,8.63,31.76,53.01,142.21,62.73,25.73,,131.14,10.12,
4/2/2021,14.68,96.22,348.84,90.6,14.19,23.21,5.57,43.91,,97.17,72.02,83.76,8.65,31.78,53.33,142.67,63.35,25.73,,131.14,10.12,
4/5/2021,14.68,96.22,348.84,90.6,14.19,23.21,5.57,43.91,,97.17,72.02,83.76,8.65,31.78,53.33,142.67,63.35,25.73,,131.14,10.12,
4/6/2021,14.68,96.22,348.84,90.6,14.19,23.21,5.57,43.91,,97.17,72.02,83.76,8.65,31.78,53.33,142.67,63.35,25.73,,131.9,10.09,
4/7/2021,14.6,95.97,347.01,89.97,14.13,23.08,5.51,43.9,,96.84,72.02,83.92,8.38,31.25,52.1,141.72,62.81,25.74,,131.6,9.69,
4/8/2021,14.77,96.6,348.17,90.44,14.13,23.22,5.56,43.91,,96.43,72.02,83.27,8.47,31.48,52,142.77,62.76,25.77,,131.94,9.84,
4/9/2021,14.86,96.68,349.58,90.58,14.09,23.06,5.53,44.18,,95.79,72.02,82.66,8.33,31.16,52.29,142.06,63.04,25.74,,132.34,9.63,
4/12/2021,14.86,96.22,350.31,90.42,14.12,22.95,5.3,43.96,,95.89,72.02,82.82,8.3,30.93,52.03,141,63.18,25.72,,131.98,9.45,
4/13/2021,14.9,96.35,350.76,90.61,14.01,22.9,5.33,43.94,,96.43,72.02,82.55,8.34,31.06,51.66,141.53,63.03,25.72,,131.92,9.47,
4/14/2021,14.86,96.56,350.52,90.77,14.3,23.08,5.41,44.06,,96.31,72.02,83.21,8.34,31.21,52.7,140.32,63.34,25.71,,132.1,9.45,
4/15/2021,15.02,97.03,352.33,91.23,14.37,23.09,5.39,44.18,,96.22,72.02,82.11,8.32,31.3,52.32,143.04,63.45,25.8,,132.58,9.48,
4/16/2021,14.99,97.92,353.19,91.46,14.32,23.24,5.41,44.07,,96.98,72.02,83.37,8.36,31.43,52.41,143.69,63.64,25.76,,134.08,9.53,
4/19/2021,14.83,97.82,350.68,90.86,14.21,23.42,5.25,43.68,,96.85,72.02,84.37,8.3,31.17,51.41,142.77,63.18,25.74,,133.4,9.47,
4/20/2021,14.65,96.05,346.87,89.65,14.11,22.69,5.13,42.53,,94.34,72.02,81.02,8.23,30.91,50.19,142.76,62.54,25.76,,131.86,9.4,
4/21/2021,14.8,96.72,349.74,90.31,14.13,22.84,5.14,42.76,,94.83,72.02,80.51,8.27,31.01,51.02,144.35,63.12,25.75,,132.48,9.47,
4/22/2021,14.88,97.41,352.09,91.02,14.15,23.2,5.21,43.32,,95.62,72.02,80.96,8.4,31.22,52.31,143.53,63.75,25.76,,133.38,9.61,
4/23/2021,14.83,97.27,350.65,90.75,14.14,23.09,5.23,43.26,,95.63,72.02,80.9,8.46,31.35,52.19,142.62,63.53,25.76,,132.68,9.74,
4/26/2021,14.91,97.56,351.44,90.95,14.27,23.36,5.28,43.1,,96.17,72.02,82.98,8.33,31.37,52.89,142.57,63.76,25.77,,133.54,9.66,
4/27/2021,14.87,97.52,350.91,90.86,14.24,23.47,5.35,42.63,,95.87,72.02,84.23,8.41,31.44,53.04,142.58,63.69,25.75,,133.44,9.75,
4/28/2021,14.73,97.5,350.95,90.89,14.4,23.54,5.41,42.52,,95.93,72.02,86.04,8.44,31.53,52.83,142.05,63.72,25.7,,133.52,9.81,
4/29/2021,14.62,97.32,350.58,90.67,14.63,23.61,5.4,42.34,,95.12,72.02,86.89,8.35,31.33,52.59,141.3,63.71,25.65,,132.98,9.62,
4/30/2021,14.64,97.01,352.3,90.79,14.51,23.56,5.38,42.45,,94.68,72.02,87.04,8.32,31.21,52.59,142.29,63.85,25.65,,132.08,9.56,
5/3/2021,14.52,97.76,352.69,90.92,14.63,23.79,5.42,42.67,,95.82,72.02,87.25,8.3,31.13,52.48,143.81,64.16,25.71,,133.34,9.49,
5/4/2021,14.21,96.22,349.46,89.9,14.23,23.57,5.35,42.31,,93.93,72.02,86.27,8.17,30.68,51.67,143.77,63.91,25.75,,130.94,9.36,
5/5/2021,14.41,98.08,353.06,91.07,14.58,23.88,5.47,43.05,,95.89,72.02,88.64,8.26,31.06,52.23,143.81,64.5,25.75,,132.76,9.38,
5/6/2021,14.27,98.03,350.95,90.63,14.51,23.92,5.52,42.87,,96.05,72.02,89.04,8.18,31.1,51.19,145.99,64.22,25.77,,133.82,9.32,
5/7/2021,14.44,98.93,353.24,91.28,14.95,24.17,5.55,42.99,,96.44,72.02,89.21,8.16,31.35,51.86,146.1,64.54,25.76,,134.46,9.18,
5/10/2021,14.15,99.03,352.55,91.01,15.04,24.38,5.51,43.21,,97.3,72.02,91.22,7.88,30.85,51.55,146.48,65.15,25.72,,134.72,8.78,
5/11/2021,13.91,97.15,345.55,89.34,15.1,23.91,5.5,42.05,,95.62,72.02,90.26,7.88,30.47,50.21,145.74,63.59,25.66,,132.22,8.75,
5/12/2021,13.73,97.4,343.8,88.87,14.89,23.98,5.45,41.41,,96.09,72.02,91.43,7.89,30.09,50.06,146.04,63.48,25.58,,131.8,8.82,
5/13/2021,13.86,97.4,345.12,88.98,14.96,23.94,5.47,41.13,,95.95,72.02,90.78,7.8,29.97,49.65,146.24,63.46,25.58,,132.6,8.72,
5/14/2021,14.02,98.54,347.88,89.8,14.99,24.38,5.49,41.67,,97.15,72.02,92.56,7.86,30.2,50.55,146.69,64.11,25.6,,134.94,8.7,
5/17/2021,13.89,98.41,346.32,89.45,15.22,24.31,5.56,41.29,,97.52,72.02,92.58,7.94,30.13,50.66,148.68,63.94,25.63,,134.4,8.77,
5/18/2021,13.91,98.61,345.55,89.63,15.3,24.42,5.59,41.75,,97.72,72.02,93.07,8.01,30.51,50.92,148.19,63.76,25.59,,135,8.89,
5/19/2021,13.68,97.16,338.86,88.12,15.23,24.04,5.55,41.31,,96.01,72.02,91.48,7.96,30.28,49.41,149.24,62.37,25.6,,131.6,8.88,
5/20/2021,14.08,98.48,345.29,89.61,15.48,24.27,5.57,41.9,,96.71,72.02,91.78,8.06,30.54,50.13,148.95,63.32,25.62,,134,9.06,
5/21/2021,14.09,99,347.1,89.96,15.43,24.5,5.6,42.04,,97.86,72.02,92.67,7.96,30.37,50.68,148.95,63.8,25.63,,134.86,9.05,
5/24/2021,14.22,99.23,347.19,90.14,15.61,24.5,5.62,41.93,,98.45,72.02,93.21,8.1,30.68,50.39,149.32,63.53,25.63,,134.86,9.05,
5/25/2021,14.22,99.23,347.19,90.14,15.61,24.5,5.62,41.93,,98.66,72.02,93.21,8.1,30.68,50.39,149.73,63.53,25.7,,135.9,9.04,
5/26/2021,14.25,99.25,348.52,90.47,15.65,24.5,5.69,42.16,,98.06,72.02,92.24,8.16,30.93,50.89,150.93,63.67,25.78,,135.5,9.17,
5/27/2021,14.3,99.57,349.89,90.79,15.9,24.77,5.74,42.17,,99.06,72.02,94.18,8.19,31.09,51.7,150.26,64.14,25.7,,135.74,9.24,
5/28/2021,14.31,100.1,350.5,91.17,16.23,24.89,5.76,42.53,,99.63,72.02,94.5,8.19,31.31,51.77,150.37,64.26,25.73,,136.8,9.09,
5/31/2021,14.2,99.64,348.16,90.68,16.23,24.7,5.78,42.17,,99.67,72.02,93.92,8.24,31.43,51.42,150.86,63.92,25.72,,135.74,9.15,
6/1/2021,14.17,100.4,349.06,91.02,16.3,24.9,5.77,42.15,,100.26,72.02,95.45,8.35,31.76,51.92,150.1,64.25,25.7,,137.42,9.36,
6/2/2021,14.31,100.72,350.18,91.37,16.46,24.93,5.84,42.56,,100.32,72.02,95.65,8.35,31.91,52.12,150.92,64.51,25.73,,137.28,9.37,
6/3/2021,14.25,100.58,351.2,91.5,16.4,24.81,5.87,42.74,,100.8,72.02,96.27,8.27,31.86,52.11,149.14,64.86,25.71,,137.22,9.31,
6/4/2021,14.42,100.92,351.91,91.78,16.39,24.69,5.9,43.1,,101.12,72.02,95.13,8.29,31.93,52.16,150.69,64.67,25.75,,137.56,9.3,
6/7/2021,14.38,101.16,350.89,91.59,16.38,24.87,5.9,42.99,,102.16,72.02,95.95,8.16,31.69,52.67,150.32,64.52,25.75,,137.78,9.13,
6/8/2021,14.43,101.3,351.16,91.65,16.3,24.83,5.9,43.08,,102.22,72.02,94.74,8.15,31.64,53.02,150.48,64.53,25.79,,137.84,9.04,
6/9/2021,14.47,101.4,352.26,91.77,16.1,24.86,5.86,42.88,,101.9,72.02,94,8.16,31.61,53.35,150.23,64.69,25.81,,137.72,9.08,
6/10/2021,14.53,101.48,353.31,92.09,16.3,24.84,5.91,43.02,,101.6,72.02,94.31,8.21,31.84,52.83,150.54,64.67,25.84,,137.9,9.13,
6/11/2021,14.71,102.1,355.54,92.63,16.13,25.05,5.93,43.22,,101.86,72.02,94.1,8.21,31.91,53.34,150.16,65.05,25.88,,138.84,9.12,
6/14/2021,14.74,102.24,354.74,92.57,16.2,25.24,5.94,43.09,,102.02,72.02,94.51,8.23,32,53.39,148.78,64.74,25.84,,139.04,9.16,
6/15/2021,14.78,102.36,354.96,92.53,16,25.08,5.91,43.25,,101.94,72.02,94.35,8.13,31.73,52.89,148.51,64.67,25.87,,139.26,9.06,
6/16/2021,14.78,102.62,355.65,92.76,16.06,25.07,5.91,43.42,,101.96,72.02,93.01,8.08,31.79,53.23,148.34,64.89,25.84,,139.38,9.05,
6/17/2021,15.14,102.54,359.91,93.6,15.81,25.03,5.92,43.84,,101.84,72.02,93.29,8.28,32.1,53.51,143.87,65.01,25.82,,139.8,9.27,
6/18/2021,15.06,100.92,357.68,92.84,15.85,24.6,5.89,43.15,,99.94,72.02,90.19,8.3,31.98,52.88,145.04,64.51,25.83,,137.56,9.32,
6/21/2021,15.09,101.64,359.32,93.15,15.96,24.66,5.93,43.2,,100.64,72.02,90.55,8.22,31.85,53.21,145.03,64.96,25.85,,137.6,9.25,
6/22/2021,15.22,101.88,361.47,93.55,16.03,24.72,5.93,43.43,,100.62,72.02,90.5,8.19,31.75,53.33,144.54,65.23,25.84,,138.3,9.13,
6/23/2021,15.21,101.1,360.79,93.35,16,24.45,5.9,43.01,,99.71,72.02,90.09,8.28,31.99,53.61,144.8,65.02,25.84,,137.14,9.33,
6/24/2021,15.35,102.08,363,93.99,16.38,24.77,5.92,43.3,,100.78,72.02,91.3,8.36,32.28,54.14,144.32,65.25,25.82,,138.64,9.36,
6/25/2021,15.32,102.24,363.68,94.22,16.47,24.86,5.93,43.51,,101.2,72.02,92.15,8.48,32.47,54.63,144.3,65.68,25.83,,138.42,9.55,
6/28/2021,15.46,101.64,364,94.17,16.57,24.39,5.93,43.41,,100.08,72.02,89.88,8.55,32.52,54.07,144.36,65.45,25.82,,137.58,9.66,
6/29/2021,15.57,101.92,366.19,94.56,16.3,24.43,5.91,43.65,,100.5,72.02,90.62,8.5,32.47,54.31,143.15,65.93,25.83,,138.06,9.56,
6/30/2021,15.67,101.18,368,94.65,15.93,24.2,5.91,43.27,,99.61,72.02,89.68,8.53,32.56,54.29,144.06,66.04,25.88,,136.64,9.52,
7/1/2021,15.62,101.78,369.08,94.78,16.17,24.46,5.89,43.21,,100.18,72.02,91.24,8.42,32.35,54.58,144.52,66.46,25.89,,137.06,9.48,
7/2/2021,15.82,102.04,371.6,95.22,16.18,24.43,5.92,43.45,,100.22,72.02,89.72,8.32,32.34,54.27,145.75,66.65,25.92,,137.28,9.27,
7/5/2021,15.88,102.38,372.69,95.39,16.32,24.56,5.95,43.58,,100.92,72.02,91.35,8.17,32.2,54.26,146.18,66.73,25.91,,137.36,8.98,
7/6/2021,15.99,101.86,371.65,95.1,16.07,24.32,5.9,43.42,,99.92,72.02,88.66,8.14,32.04,53.3,147.6,66.05,25.99,,135.8,8.87,
7/7/2021,16.04,102.64,374.44,95.65,16.44,24.3,5.94,43.69,,100.22,72.02,87.93,8.12,32.01,53.28,147.8,66.6,26.04,,136.82,8.85,
7/8/2021,15.84,100.96,369.86,94.18,16.06,23.78,5.89,42.86,,97.58,72.02,85.52,7.82,31.26,52.49,146.88,65.84,26.07,,134.34,8.52,
7/9/2021,16.01,102.22,373.67,95.29,16.1,24.17,5.93,43.75,,99.38,72.02,88.16,7.99,31.66,53.25,147.71,66.45,26.05,,136.78,8.79,
7/12/2021,16.01,102.92,374.77,95.57,16.12,24.25,5.92,43.96,,100.32,72.02,88.15,7.98,31.7,53.29,147.3,66.72,26,,137.76,8.8,
7/13/2021,16.28,103,377.45,96.14,16.13,23.93,5.96,44.12,,99.72,72.02,86.64,8.17,32.11,53.01,148.49,66.75,26.03,,137.52,9.01,
7/14/2021,16.28,102.84,375.61,95.84,16.14,23.85,5.96,44.23,,100.02,72.02,87.21,8.12,32.05,52.15,149.26,66.33,26.02,,137.78,8.99,
7/15/2021,16.21,101.96,375.38,95.65,16.09,23.56,5.99,43.86,,98.56,72.02,87.02,8.21,32.22,51.74,149.49,66.3,26.06,,136.52,8.94,
7/16/2021,16.11,101.62,374,95.26,16.11,23.44,5.96,43.58,,98.27,72.02,85.43,8.1,32,51.7,148.49,66.16,26.05,,135.72,8.84,
7/19/2021,15.85,99.33,367.23,93.41,15.65,22.88,5.89,42.77,,95.31,72.02,82.26,7.99,31.42,50.69,148.17,64.7,26.15,,131.74,8.68,
7/20/2021,16.01,99.65,372.38,94.59,15.76,23.01,5.93,43.29,,95.76,72.02,83.57,7.98,31.54,51.68,148.79,65.88,26.17,,133.6,8.63,
7/21/2021,16.14,101.46,374.43,95.16,16.04,23.65,5.93,43.35,,98.16,72.02,86.41,8.01,31.59,52.53,148.09,66.36,26.12,,135.78,8.66,
7/22/2021,16.31,102.06,376.11,95.67,16.02,23.89,6.01,43.72,,98.71,72.02,86.22,8.07,31.81,51.96,148.61,66.29,26.15,,136.54,8.78,
7/23/2021,16.49,103.16,380.5,96.42,16.05,24.05,6.02,43.99,,99.97,72.02,87.59,7.78,31.41,52.15,148.24,66.98,26.14,,138.48,8.36,
7/26/2021,16.44,103.08,380.09,96.01,15.98,24.27,6.03,43.54,,100.52,72.02,89.3,7.42,30.84,52.21,147.41,66.93,26.15,,138.1,7.93,
7/27/2021,16.14,102.46,376.44,94.85,15.82,24.06,5.94,43.29,,99.78,72.02,88.46,6.9,29.93,51.17,147.39,66.53,26.16,,137.34,7.3,
7/28/2021,16.3,103.2,378.81,95.78,15.99,24.13,5.97,43.54,,100.46,72.02,87.95,7.41,30.76,52.04,147.57,66.77,26.17,,137.8,7.96,
7/29/2021,16.25,103.64,378.15,95.87,16.23,24.28,5.98,43.58,,101.48,72.02,89.58,7.41,30.96,52.75,149,67.05,26.17,,138.52,8.03,
7/30/2021,16.21,103.16,376.59,95.36,16.16,24.03,6,43.21,,101.04,72.02,88.8,7.36,30.81,52.35,148.81,66.99,26.18,,137.78,7.97,
8/2/2021,16.33,103.76,377.39,95.79,16.22,24.2,6.03,43.71,,100.88,72.02,88.33,7.46,31.03,52.3,147.83,67.11,26.25,,138.34,7.97,
8/3/2021,16.17,104.06,376.56,95.62,16.24,24.28,6.12,43.65,,100.88,72.02,89.44,7.34,30.93,51.95,147.69,67.06,26.24,,138.8,7.77,
8/4/2021,16.31,104.68,378.18,96.07,16.38,24.33,6.17,43.47,,101.36,72.02,90.2,7.49,31.27,51.94,147.77,67.11,26.27,,139.5,8.05,
8/5/2021,16.44,105.1,379.33,96.62,16.41,24.43,6.2,43.7,,102.1,72.02,91.03,7.44,31.33,52.6,147.37,67.21,26.25,,139.9,7.94,
8/6/2021,16.54,105.02,382.94,96.91,16.28,24.55,6.2,43.88,,103.48,72.02,93.3,7.35,31.15,53.15,144.86,68.09,26.18,,140.12,7.84,
